Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019,2020,2021,2022,2023,2024
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,25120.0,25700.0,36048.0,36144.0,36144.0,36144.0
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,2210.0,2261.0,4301.0,4314.0,4314.0,4314.0
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,1674.0,1713.0,2313.0,2316.0,2316.0,2316.0
1722202,Angor tumani,Ангорский район,Angor district,Aнгор тумани,1016.0,1040.0,1090.0,1105.0,1105.0,1105.0
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,Бандихон тумани,0.0,776.0,1276.0,1277.0,1277.0,1277.0
1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,959.0,982.0,957.0,958.0,958.0,958.0
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,928.0,949.0,2349.0,2349.0,2349.0,2349.0
1722210,Denov tumani,Денауский район,Denau district,Денов тумани,2424.0,2479.0,2479.0,2486.0,2486.0,2486.0
1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,2166.0,2216.0,4416.0,4418.0,4418.0,4418.0
1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,2004.0,2050.0,3450.0,3461.0,3461.0,3461.0
1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,1850.0,1116.0,1776.0,1776.0,1776.0,1776.0
1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,1358.0,1390.0,633.0,633.0,633.0,633.0
1722220,Termiz tumani,Термезский район,Termiz district,Термиз тумани,1271.0,1300.0,2340.0,2370.0,2370.0,2370.0
1722221,Uzun tumani,Узунский район,Uzun district,Узун тумани,1441.0,1475.0,1575.0,1580.0,1580.0,1580.0
1722223,Sherobod tumani,Шерабадский район,Sherabad district,Шеробод тумани,3032.0,3102.0,2942.0,2946.0,2946.0,2946.0
1722226,Sho‘rchi tumani,Шурчинский район,Shurchi district,Шўрчи тумани,2787.0,2851.0,4151.0,4155.0,4155.0,4155.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,5114.0,5138.0,5344.0,6876.0,14933.0,14974.0
1724401,Guliston shahri,Город Гулистан,Gulistan city,Гулистон шаҳри,158.0,158.0,157.0,165.0,1212.0,1413.0
1724410,Shirin shahri,Город Ширин,Shirin city,Ширин шаҳри,0.0,0.0,0.0,0.0,0.0,0.0
1724413,Yangiyer shahri,Город Янгиер,Yangier city,Янгийер шаҳри,830.0,862.0,869.0,893.0,1035.0,1034.0
1724206,Oqoltin tumani,Акалтынский район,Akaltyn  district,Оқолтин тумани,642.0,642.0,642.0,642.0,946.0,914.0
1724212,Boyovut tumani,Баяутский район,Bayaut district,Боёвут тумани,0.0,0.0,0.0,906.0,2308.0,2307.0
1724216,Sayxunobod tumani,Сайхунабадский район,Saykhunabad district,Сайхунобод тумани,2910.0,2910.0,2455.0,2477.0,2985.0,2985.0
1724220,Guliston tumani,Гулистанский район,Gulistan district,Гулистон тумани,0.0,0.0,0.0,0.0,1934.0,1934.0
1724226,Sardoba tumani,Сардобский район,Sardoba district,Сардоба тумани,0.0,0.0,0.0,572.0,1145.0,1145.0
1724228,Mirzaobod tumani,Мирзаабадский район,Mirzaabad district,Мирзаобод тумани,377.0,369.0,762.0,762.0,946.0,946.0
1724231,Sirdaryo tumani,Сырдарьинский район,Syrdarya district,Сирдарё тумани,23.0,23.0,179.0,179.0,1564.0,1429.0
1724235,Xovos tumani,Хавасский район,Khovos district,Ховос тумани,174.0,174.0,280.0,280.0,858.0,867.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,15212.0,22181.0,16098.0,32230.0,129456.0,129456.0
1727401,Nurafshon shahri,Город Нурафшон,Nurafshan city,Нурафшон шаҳри,40.0,40.0,40.0,501.0,2155.0,2155.0
1727404,Olmaliq shahri,Город Алмалык,Almalyk city,Олмалиқ шаҳри,431.0,438.0,438.0,451.0,3068.0,3068.0
1727407,Angren shahri,Город Ангрен,Angren city,Aнгрен шаҳри,620.0,620.0,620.0,620.0,5642.0,5642.0
1727413,Bekobod shahri,Город Бекабад,Bekabad city,Бекобод шаҳри,284.0,284.0,284.0,284.0,2114.0,2114.0
1727419,Chirchiq shahri,Город Чиpчик,Chirchik city,Чирчиқ шаҳри,229.0,240.0,242.0,310.0,2893.0,2893.0
1727415,Ohangaron shahri,Город Ахангаран,Akhangaran city,Оҳангарон шаҳри,308.0,309.0,185.0,205.0,1054.0,1054.0
1727424,Yangiyo‘lshahri,Город Янгиюль,Yangiyul city,Янгийўлшаҳри,0.0,0.0,0.0,201.0,2608.0,2608.0
1727206,Oqqo‘rg‘on tumani,Аккурганский район,Akkurgan district,Оққўрғон тумани,528.0,528.0,528.0,856.0,5039.0,5039.0
1727212,Ohangaron tumani,Ахангаранский район,Akhangaran district,Оҳангарон тумани,601.0,646.0,646.0,800.0,4261.0,4261.0
1727220,Bekobod tumani,Бекабадский район,Bekabad district,Бекобод тумани,592.0,994.0,996.0,4952.0,7510.0,7510.0
1727224,Bo‘stonliq tumani,Бостанлыкский район,Bostanlyk district,Бўстонлиқ тумани,1561.0,1616.0,1616.0,1616.0,9686.0,9686.0
1727228,Bo‘ka tumani,Букинский район,Buka district,Бўка тумани,879.0,886.0,887.0,1074.0,6213.0,6213.0
1727233,Quyichirchiq tumani,Куйичирчикский район,Kuyichirchik district,Қуйичирчиқ тумани,697.0,697.0,697.0,1329.0,5078.0,5078.0
1727237,Zangiota tumani,Зангиатинский район,Zangiata district,Зангиота тумани,768.0,768.0,840.0,3552.0,8729.0,8729.0
1727239,Yuqorichirchiq tumani,Юкоричирчикский район,Yukorichirchik district,Юқоричирчиқ тумани,659.0,659.0,681.0,3683.0,9091.0,9091.0
1727248,Qibray tumani,Кибрайский район,Kibray district,Қибрай тумани,1245.0,7681.0,1397.0,2640.0,9964.0,9964.0
1727249,Parkent tumani,Паркентский район,Parkent district,Паркент тумани,440.0,440.0,570.0,2323.0,8082.0,8082.0
1727250,Piskent tumani,Пскентский район,Piskent district,Пискент тумани,787.0,787.0,787.0,1319.0,4922.0,4922.0
1727253,O‘rtachirchiq tumani,Уртачирчикский район,Urtachirchik district,Ўртачирчиқ тумани,889.0,889.0,839.0,1178.0,6838.0,6838.0
1727256,Chinoz tumani,Чиназский район,Chinaz district,Чиноз тумани,973.0,973.0,1104.0,1104.0,6415.0,6415.0
1727259,Yangiyo‘l tumani,Янгиюльский район,Yangiyul district,Янгийўл тумани,1856.0,1861.0,1876.0,2076.0,6939.0,6939.0
1727265,Toshkent tumani,Ташкентский район,Tashkent district,Тошкент тумани,825.0,825.0,825.0,1156.0,11155.0,11155.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,59547.0,60174.0,71585.0,72756.0,73935.0,74509.0
1730401,Farg‘ona shahri,Город Фергана,Fergana city,Фарғона шаҳри,3554.0,3731.0,3606.0,3775.0,5749.0,5821.0
1730405,Qo‘qon shahri,Город Коканд,Kokand city,Қўқон шаҳри,3203.0,3208.0,3664.0,3670.0,5769.0,6301.0
1730408,Quvasoy shahri,Город Кувасай,Kuvasay city,Қувасой шаҳри,1580.0,1584.0,1645.0,1703.0,1743.0,1776.0
1730412,Marg‘ilon shahri,Город Маpгилан,Margilan city,Марғилон шаҳри,3750.0,3761.0,4113.0,4158.0,4353.0,4383.0
1730203,Oltiariq tumani,Алтыарыкский район,Altyaryk district,Олтиариқ тумани,4608.0,4609.0,5615.0,5712.0,5790.0,6015.0
1730206,Qo‘shtepa tumani,Куштепинский район,Kushtepa district,Қўштепа тумани,3369.0,3378.0,4345.0,4495.0,4533.0,4705.0
1730209,Bog‘dod tumani,Багдадский район,Baghdad district,Боғдод тумани,2136.0,2150.0,3530.0,3611.0,3684.0,3626.0
1730212,Buvayda tumani,Бувайдинский район,Buvayda district,Бувайда тумани,4140.0,4138.0,4802.0,4802.0,4840.0,4753.0
1730215,Beshariq tumani,Бешарыкский район,Besharik district,Бешариқ тумани,3779.0,3793.0,4111.0,4111.0,4165.0,4337.0
1730218,Quva tumani,Кувинский район,Kuva district,Қува тумани,4395.0,4442.0,5538.0,5597.0,5672.0,5485.0
1730221,Uchko‘prik tumani,Учкуприкский район,Uchkuprik district,Учкўприк тумани,4727.0,4849.0,5479.0,5551.0,5135.0,4940.0
1730224,Rishton tumani,Риштанский район,Rishtan district,Риштон тумани,2668.0,2674.0,4111.0,4131.0,4162.0,4054.0
1730226,So‘x tumani,Сохский район,Sokh district,Сўх тумани,928.0,928.0,973.0,993.0,1008.0,1030.0
1730227,Toshloq tumani,Ташлакский район,Tashlak district,Тошлоқ тумани,3036.0,3067.0,3559.0,3725.0,3821.0,3768.0
1730230,O‘zbekiston tumani,Узбекистанский район,Uzbekistan district,Ўзбекистон тумани,4540.0,4541.0,5289.0,5345.0,3966.0,3898.0
1730233,Farg‘ona tumani,Ферганский район,Fergana district,Фарғона тумани,3845.0,3866.0,4712.0,4732.0,2863.0,2921.0
1730236,Dang‘ara tumani,Дангаринский район,Dangara district,Данғара тумани,3090.0,3153.0,3329.0,3375.0,3264.0,3167.0
1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,922.0,1013.0,1548.0,1592.0,1709.0,1826.0
1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,1277.0,1289.0,1616.0,1678.0,1709.0,1703.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,470.0,34319.0,35012.0,35962.0,37831.0,38335.0
1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,309.0,353.0,459.0,467.0,514.0,631.0
1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0.0,1027.0,1027.0,1036.0,1081.0,1123.0
1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,0.0,3665.0,3733.0,3851.0,3943.0,3970.0
1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,0.0,2611.0,2611.0,2611.0,2638.0,2644.0
1733212,Qo‘shko‘pir tumani,Кошкупырский район,Kushkupyr district,Қўшкўпир тумани,52.0,4067.0,4146.0,4276.0,4370.0,4410.0
1733217,Urganch tumani,Ургенчский район,Urgench district,Урганч тумани,0.0,4587.0,4654.0,4655.0,4789.0,4799.0
1733220,Xazorasp tumani,Хазараспский район,Khazarasp district,Хазорасп тумани,0.0,4254.0,4279.0,4256.0,4754.0,4802.0
1733221,Tuproqqal’a tumani,Тупроккалинский район,Tuprakkala district,Тупроққалъа тумани,0.0,599.0,633.0,1055.0,1127.0,1127.0
