Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.51,0.53,0.53
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,16.77,16.77,16.77,16.77,16.77,16.77,16.77,16.77,16.77,16.77,16.77,16.77,16.77,16.77
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
1722202,Angor tumani,Ангорский район,Angor district,Aнгор тумани,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,Бандихон тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.68,0.68,0.68,0.68
1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.21,3.21,3.21,3.34,3.21,3.21
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
1722210,Denov tumani,Денауский район,Denau district,Денов тумани,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,1.15,1.15,1.15,0.76,1.15,1.15
