Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,7.46,7.46,7.46,7.46,7.46,7.45,7.45,7.44,7.44,7.44,7.44,7.44,7.44,7.44
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.18,0.04,0.04
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.5,0.52,0.52
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,0.24,0.24,0.24,0.24,0.24,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
1714219,Pop tumani,Папский район,Pop district,Поп тумани,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.3
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
