Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
01.25,"Tayyor nonushtalar shaklidagi boshoqli donlar (""quruq nonushtalar"")","Зерна злаков в виде готовых завтраков (""сухие завтраки"")","Ready-to-eat cereal grains (""breakfast cereals"")","Тайёр нонушталар шаклидаги бошоқли донлар (""қуруқ нонушталар"")",100.0,100.57,100.02,99.54,100.02,99.9,100.09,99.84,100.0,101.81,100.23,100.49,99.84,101.41,99.85,100.04,99.86,100.0,100.75,100.17,99.35,101.83,100.64,101.95,100.8,99.3,100.3,99.9
01.26,Vermishel,Вермишель,Vermicelli,Вермишел,100.64,100.43,100.01,100.3,99.75,100.24,100.03,99.99,100.01,102.05,101.96,100.34,100.79,99.2,100.76,100.49,100.51,100.16,100.45,100.97,100.21,101.05,100.24,99.11,100.7,100.1,100.0,100.5
01.27,Ugra (shu jumladan lagʻmon uchun),Лапша (в том числе для лагмана),Noodles (including for lagman),Угра (шу жумладан лағмон учун),99.93,99.48,100.27,99.8,100.41,99.97,100.39,100.46,100.76,101.42,100.77,100.65,100.35,98.88,101.1,100.79,101.16,100.31,100.15,99.51,100.45,99.71,100.04,101.12,100.6,100.2,100.0,100.1
01.28,"Makaronlar, spagetti","Макароны, спагетти","Pasta, spaghetti","Макаронлар, спагетти",100.0,100.7,99.98,100.64,100.92,100.18,100.39,100.21,100.8,102.44,100.2,98.73,101.37,100.12,99.39,100.02,100.43,100.21,101.16,99.29,100.3,99.7,100.03,100.09,100.7,101.1,100.8,100.1
01.29,"Shakldor mahsulotlar (chigʻanoqlar, yulduzchalar va shu kabilar)","Фигурные изделия (ракушки, звездочки и аналогичные)","Shaped products (shells, stars and similar)","Шаклдор маҳсулотлар (чиғаноқлар, юлдузчалар ва шу кабилар)",99.99,100.84,100.01,100.94,101.16,100.0,100.26,100.5,100.58,102.45,100.07,100.79,100.39,99.64,100.89,100.3,100.44,100.23,100.31,100.55,100.23,100.19,100.11,100.24,100.5,100.8,100.4,100.7
01.30,"Chuchvaralar va shu kabi mahsulotlar, xom","Пельмени и аналогичные изделия, сырые","Dumplings and similar products, raw","Чучваралар ва шу каби маҳсулотлар, хом",100.0,102.23,100.04,101.0,100.13,100.49,99.67,100.16,100.56,104.25,98.0,100.36,100.81,101.29,100.1,100.56,100.37,100.36,100.13,100.29,100.64,100.41,100.55,101.15,100.7,100.8,100.3,100.9
01.31,Boshqa toifalarga kiritilmagan makaron mahsulotlari (tez tayyorlanadigan ugra),"Прочие макаронные изделия, не отнесенные к другим категориям",Other noodle products not elsewhere classified,Бошқа тоифаларга киритилмаган макарон маҳсулотлари (тез тайёрланадиган угра),100.0,100.05,99.97,100.12,101.0,99.65,99.87,101.1,100.02,101.0,100.42,99.52,100.93,99.79,101.08,100.2,100.27,100.63,101.16,99.99,101.03,100.36,100.47,100.67,100.5,100.2,100.3,99.8
01.32,Pop-korn,Поп-корн,Popcorn,Поп-корн,100.46,100.96,100.0,100.32,100.0,100.0,100.0,99.98,100.0,100.32,100.38,100.0,101.69,101.54,99.3,100.36,100.0,100.42,100.0,99.9,101.15,100.42,100.0,100.0,100.7,100.3,100.9,100.0
01.33,Non-bulka mahsulotlarini tayyorlash uchun aralashmalar va xamir,Смеси и тесто для приготовления хлебобулочных изделий,Mixes and dough for bakery products,Нон-булка маҳсулотларини тайёрлаш учун аралашмалар ва хамир,99.87,100.71,100.01,100.97,101.35,99.97,99.99,100.56,99.95,102.2,100.76,100.0,101.76,101.08,100.67,100.75,99.74,100.21,100.56,100.27,100.16,101.46,99.07,100.62,101.3,100.7,99.5,99.2
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),99.09,99.48,99.74,100.19,101.11,100.67,100.89,105.54,102.55,101.57,100.67,100.73,101.1,102.76,107.55,101.92,101.08,101.21,102.32,100.06,101.26,101.67,100.38,100.49,101.1,101.9,101.9,103.0
01.35,Suyaksiz mol goʻshti,Говядина бескостная,Boneless beef,Суяксиз мол гўшти,99.73,99.34,100.14,100.21,100.19,100.43,100.85,106.27,102.79,102.55,101.04,100.74,101.33,102.55,107.32,102.11,100.96,101.11,102.26,101.03,101.9,101.59,100.3,100.54,101.3,102.3,101.1,102.6
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,99.12,99.36,100.0,100.21,101.03,100.83,101.15,104.24,102.14,101.79,100.92,101.59,101.3,102.2,108.78,101.71,101.17,101.21,102.23,101.15,101.85,101.13,101.02,100.51,101.5,103.7,101.1,104.0
01.37,Choʻchqa goʻshti,Свинина,Pork,Чўчқа гўшти,100.0,100.0,100.0,102.98,100.0,100.0,101.88,104.4,102.8,96.05,101.11,97.8,100.0,100.0,106.6,100.0,100.0,100.0,100.0,101.78,100.77,101.72,101.24,100.0,0.0,0.0,0.0,0.0
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),102.87,99.4,98.44,100.04,99.15,100.2,99.18,100.43,100.23,98.64,101.27,101.65,99.82,100.1,100.12,99.89,99.67,101.46,100.69,101.71,101.36,99.36,99.13,100.78,101.5,102.2,99.6,99.4
01.39,"Tovuq boldiri, son va tovuqning boshqa qismlari","Голень куриная, окорочка и другие части курицы","Chicken drumsticks, leg quarters, and other chicken parts","Товуқ болдири, сон ва товуқнинг бошқа қисмлари",102.89,99.23,98.87,98.06,98.35,100.0,98.94,100.92,99.59,100.81,101.59,100.4,100.43,100.0,100.15,99.05,99.57,101.85,100.72,102.55,101.36,99.47,99.51,100.71,100.8,102.8,99.6,99.0
01.40,"Qiyma (yogʻli, yarim yogʻli)","Мясной фарш (жирный, полужирный)","Meat mince (fatty, semi-fatty)","Қийма (ёғли, ярим ёғли)",100.06,99.72,100.0,100.08,99.17,100.55,101.03,104.77,102.54,101.44,100.0,100.29,100.62,101.26,105.35,102.13,100.52,100.71,101.41,100.39,101.66,102.04,100.02,100.46,100.7,101.1,101.5,102.6
01.41,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol va qoʻy jigari","Печень говяжья, баранья, парная, охлажденная или мороженая, сушеная, соленая, в рассоле  или копченая","Beef/lamb liver (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол ва қўй жигари",99.42,100.11,101.9,100.56,99.9,100.29,100.0,102.53,100.5,100.66,102.34,100.0,100.6,102.17,102.7,101.33,101.83,100.71,101.54,101.0,101.39,100.5,100.68,101.76,101.6,100.0,101.2,102.5
01.42,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol oyoqlari","Ножки говяжьи, парные, охлажденные или мороженые, сушеные, соленые, в рассоле  или копченые","Beef feet (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол оёқлари",100.75,100.99,99.65,101.64,99.21,98.26,100.36,101.16,100.21,104.85,100.84,103.77,101.44,102.04,102.26,100.22,100.03,100.0,99.55,101.95,101.06,101.37,101.33,100.85,102.0,100.9,101.5,101.2
01.43,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan til","Язык, парной, охлажденный или мороженый, сушеный, соленый, в рассоле  или копченый","Tongue (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган тил",99.56,100.25,100.0,101.35,98.34,100.25,100.0,101.01,102.66,105.71,100.33,100.84,100.0,100.84,102.28,104.1,100.92,100.96,99.63,100.0,100.0,101.2,100.35,101.56,100.9,100.5,102.1,100.0
01.44,Pishirilgan kolbasa,Колбаса вареная,Cooked sausage,Пиширилган колбаса,101.35,99.74,99.54,101.19,100.65,101.69,100.27,100.41,100.28,101.9,100.36,100.97,100.15,100.59,101.66,101.05,100.86,99.56,100.4,100.71,100.95,100.8,100.16,100.14,100.5,101.1,100.5,101.5
01.45,"Sosiskalar, sardelkalar","Сосиски, сардельки","Sausages, frankfurters","Сосискалар, сарделкалар",99.61,99.48,100.14,102.52,99.91,101.45,101.89,100.59,100.33,100.36,100.41,100.13,101.07,101.09,100.14,101.0,99.98,100.41,100.3,100.59,100.27,100.78,100.47,100.05,100.4,100.1,100.8,101.9
01.46,Dudlangan va yarim dudlangan kolbasa,Колбаса копченая и полукопченая,Smoked and semi-smoked sausage,Дудланган ва ярим дудланган колбаса,101.91,100.39,100.35,101.01,100.14,101.9,100.43,100.73,100.11,100.4,100.17,101.1,100.66,100.92,100.83,101.06,100.38,99.66,100.86,100.24,100.04,100.86,100.37,99.93,101.0,100.7,100.9,101.7
01.47,Qazi,Казы,Kazi,Қази,99.26,99.14,99.03,101.07,98.99,99.25,100.07,100.67,100.49,105.05,101.97,102.19,100.17,100.0,100.51,99.8,100.31,100.0,100.8,99.65,101.66,101.0,100.0,99.4,100.7,100.0,100.1,100.0
01.48,Konservalangan dimlangan mol goʻshti,Говядина тушеная консервированная,Canned stewed beef,Консерваланган димланган мол гўшти,99.54,99.42,100.31,100.09,101.83,100.19,99.97,100.59,99.89,100.83,100.96,101.84,100.71,100.78,101.6,100.0,100.55,101.81,100.54,100.01,100.0,99.42,101.23,100.45,100.2,100.2,101.7,99.9
01.49,"Tirik, yangi, sovutilgan  baliq","Рыба, живая, свежая, охлажденная","Fish, live, fresh, chilled","Тирик, янги, совутилган  балиқ",99.95,99.44,102.72,101.04,100.11,100.37,100.04,99.54,100.67,102.24,100.22,101.98,100.24,100.69,101.5,102.56,100.29,100.51,100.0,100.71,99.31,101.27,100.22,100.69,100.3,98.1,102.8,101.1
01.50,Muzlatilgan baliq,Рыба мороженая,Frozen fish,Музлатилган балиқ,98.02,101.06,99.71,99.71,99.32,101.07,100.0,100.0,99.51,103.55,100.32,100.7,100.22,99.92,100.35,100.75,100.34,100.37,100.0,101.53,101.02,99.81,99.84,100.66,99.4,100.0,101.5,100.2
01.51,"Quritilgan, tuzlangan, namakobga solingan  yoki dudlangan baliq","Рыба, вяленая, соленая, в рассоле или копченая","Fish, dried, salted, in brine or smoked","Қуритилган, тузланган, намакобга солинган  ёки дудланган балиқ",100.33,100.76,99.06,101.42,99.01,100.3,102.04,100.03,99.95,103.07,99.86,102.49,101.46,100.0,100.35,100.38,100.0,101.45,99.46,100.88,100.97,99.44,99.91,100.38,100.6,100.0,100.1,99.9
01.52,Moyga solingan sardinalar,Сардины в масле,Sardines in oil,Мойга солинган сардиналар,101.57,101.08,100.01,100.17,99.82,100.06,101.56,100.24,99.99,101.45,101.67,104.46,100.68,101.7,100.22,100.46,100.61,100.59,100.13,100.38,100.72,100.27,98.29,101.39,100.1,100.2,101.8,100.6
