Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,1017614.3,997760.7,1016227.8,1077720.4,1156185.0,1170375.7,1196876.7,1307928.3,1599541.6,1614525.8,1647288.4,1717942.1,1976416.9,2636002.1,2338886.2,2230425.1,1903454.2,1949971.9,2007113.6,2122200.4,2312149.8,2379900.6,2359959.8,2439606.8,2585314.9,2637397.3,2648037.2,2733966.4,3035048.1,3021160.5,3007396.8,3159789.3,3631924.4,3748660.3,3756663.1,3857223.1,4325804.7
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,1764113.4,1825349.6,1978122.6,2058653.0,2147658.5,2221524.7,2386519.5,2610613.8,2329899.2,2490475.6,2783594.7,2934770.4,3685636.1,3766737.0,3653955.8,3668785.2,3900069.1,4040795.7,4067260.7,4249970.8,4597030.8,4424636.9,4803487.4,4986701.0,5279691.9,5712420.6,5836369.5,5964139.7,6098585.1,6249711.6,6273652.7,6453978.0,6865903.5,6814268.8,7051500.3,7421626.2,7982906.9
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,955744.0,969243.9,988679.6,1051480.7,1157855.4,1227060.9,1309884.2,1402937.3,1609921.5,1577772.0,1577996.1,1655482.8,1881711.8,1845962.4,1839378.5,1835137.9,1934276.5,1881484.2,1872351.0,1901623.2,2179387.1,2358214.7,2545668.4,2653057.8,2677533.5,2774937.9,2820351.5,2893773.0,3109621.4,3162165.5,3228470.4,3341284.9,3216832.3,3519382.4,3656070.5,3820696.5,4168720.6
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,1520418.2,1565130.7,1764248.9,1853930.8,1552666.2,1610014.2,1714447.8,1797819.0,1990955.3,1959131.2,1763904.8,1797663.7,2289162.0,2331280.0,2361714.0,2371200.1,2410119.2,2334720.8,2325107.6,2547573.2,2873770.8,2858634.2,2949308.5,3019864.8,2989192.8,3163248.2,3256409.9,3365470.4,3471213.8,3461407.9,3479832.4,3623853.8,4173845.8,3671555.0,3808103.7,4465528.6,4491317.4
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,1068239.1,1064562.6,1081524.6,1118750.1,1204438.5,1216827.3,1239958.5,1312503.7,1550912.8,1562442.2,1638048.4,1696130.1,1911361.5,1886393.1,1915962.5,1947902.1,2205437.0,2149951.9,2200760.5,2291060.5,2302651.6,2353023.0,2474230.4,2549959.1,2672840.3,2739012.7,2789156.2,2869310.4,3065541.3,3075257.7,3064125.8,3130342.3,3270346.6,3273428.4,3335382.0,3414613.4,3525973.6
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,986684.6,980958.8,1006147.9,1075543.5,1213276.0,1185827.3,1192634.4,1301712.8,1626381.6,1582544.3,1658557.6,1744729.7,2067003.7,2000649.5,1981721.9,1982681.2,2069330.5,2034201.9,2007657.9,2129321.6,2269283.7,2349530.0,2446457.9,2532025.0,2636784.4,2621966.8,2663273.7,2746346.8,2746955.0,2724817.0,2737980.9,2925626.7,3218842.1,3242703.4,3353849.3,3522979.5,3589843.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1153855.7,1163821.9,1185812.7,1270729.0,1349495.8,1370564.8,1424531.5,1535946.0,1770711.1,1770405.6,1853925.2,1934161.6,2175384.5,2086222.9,2091515.5,2123698.8,2287742.2,2339528.2,2345552.7,2471245.0,2678888.7,2745119.5,2834435.3,2940378.5,3146955.9,3329590.8,3390473.9,3472326.6,3722471.2,3827298.9,3849452.8,3972483.5,4382591.7,4482840.8,4597445.0,4786017.3,5142791.4
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,1337443.2,1370249.1,1408863.8,1523997.4,1629196.2,1674876.5,1775821.3,1911138.8,2183057.5,2214437.5,2363804.6,2472709.8,2755111.9,2595029.3,2655940.5,2724423.6,2848691.0,2950100.1,3033739.2,3209797.6,3424884.8,3505099.8,3604577.7,3744596.9,3950801.0,4237082.6,4324072.0,4448952.9,4664706.3,4850556.2,4915967.3,5095017.0,5755732.9,5845471.7,6092856.4,6383533.1,6906745.6
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,1098034.0,1139013.9,1159890.3,1230688.7,1249914.2,1293818.1,1321310.1,1432811.4,1706932.8,1830687.2,1828096.2,1892744.6,2069582.8,1878632.3,1831201.2,1831482.6,1896023.7,1966024.9,1944733.3,2052133.8,2122270.7,2238412.3,2408831.6,2561381.0,2753995.1,2888628.2,2815798.4,2830843.4,3021237.4,3244856.8,3252726.2,3414544.5,3974228.8,3930047.2,3892872.6,3996603.4,4271800.8
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,1110882.2,1081721.6,1067583.6,1128957.6,1221877.5,1223097.7,1236326.8,1343740.6,1780323.9,1760022.0,1786098.8,1856634.9,2050814.8,1993919.1,1954032.1,1939628.6,2209193.9,2260160.7,2182759.3,2326786.3,2538866.4,2603078.4,2641743.2,2748402.9,2738128.1,2996728.3,2834893.5,2910857.3,3230225.3,3284074.8,3190088.3,3222467.0,3484112.1,3637010.9,3576081.5,3762398.5,4050744.8
