Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,22171.0,23068.0,23549.0,23479.0,24001.0,24664.0,24969.0,25248.0,25128.0,24575.0,23535.0,23104.0,23041.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,90198.0,92190.0,93568.0,93039.0,94495.0,95526.0,97038.0,97120.0,96949.0,93167.0,88745.0,83310.0,78510.0
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,13692.0,13098.0,12486.0,11790.0,11887.0,12015.0,12469.0,13062.0,13495.0,13212.0,13029.0,12686.0,12220.0
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,7688.0,7767.0,7894.0,7940.0,8028.0,8387.0,8123.0,7792.0,7803.0,7252.0,6941.0,6790.0,6665.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,692.0,687.0,749.0,745.0,728.0
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,2906.0,2911.0,2789.0,2529.0,2595.0,2580.0,2927.0,3095.0,3030.0,2649.0,2499.0,2389.0,2034.0
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,13092.0,13683.0,14595.0,14575.0,14639.0,15130.0,15195.0,14984.0,15559.0,14746.0,13855.0,13037.0,12148.0
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,10267.0,10766.0,10794.0,11160.0,11427.0,11568.0,12112.0,12604.0,12173.0,11766.0,10847.0,9817.0,8803.0
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,10722.0,11117.0,11331.0,11330.0,11440.0,11790.0,11941.0,11715.0,11770.0,11978.0,11749.0,11130.0,10633.0
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,8542.0,8431.0,8766.0,8251.0,8146.0,7713.0,7790.0,7387.0,7364.0,7482.0,7234.0,6892.0,6425.0
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,1260.0,1285.0,1275.0,1256.0,1276.0,1192.0,1224.0,1273.0,1300.0,1228.0,1437.0,1257.0,1072.0
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,3979.0,4138.0,3981.0,4070.0,4047.0,4118.0,3878.0,3529.0,3231.0,3048.0,2859.0,2541.0,2549.0
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,18050.0,18994.0,19657.0,20138.0,21010.0,21033.0,21379.0,21162.0,20532.0,19119.0,17546.0,16026.0,15233.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,235223.0,244198.0,250871.0,258885.0,264862.0,270771.0,275852.0,279266.0,279847.0,276056.0,266328.0,252841.0,241863.0
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,42656.0,44176.0,44553.0,46051.0,56283.0,57847.0,58796.0,59853.0,60187.0,59004.0,57903.0,55678.0,54053.0
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,10365.0,10545.0,10446.0,10529.0,10518.0,10813.0,11044.0,11734.0,12293.0,12629.0,12879.0,12667.0,12124.0
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,17745.0,18396.0,18600.0,19113.0,19629.0,19998.0,20903.0,21389.0,21187.0,21091.0,20236.0,19015.0,18179.0
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,19169.0,19959.0,20502.0,21281.0,16875.0,17983.0,18962.0,19580.0,19703.0,19358.0,18222.0,16820.0,15645.0
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,14930.0,15119.0,15210.0,15044.0,15378.0,15167.0,15196.0,15101.0,15071.0,14533.0,14249.0,13698.0,12920.0
1714219,Pop tumani,Папский район,Pop district,Поп тумани,19966.0,20896.0,21519.0,22010.0,21696.0,22258.0,22546.0,22667.0,22346.0,22275.0,20527.0,18662.0,17326.0
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,18511.0,19418.0,20351.0,21207.0,21330.0,21989.0,21915.0,22022.0,21738.0,21468.0,20362.0,19356.0,18209.0
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,18358.0,18855.0,20086.0,20945.0,19618.0,20087.0,20854.0,20980.0,21484.0,21414.0,20895.0,19886.0,19056.0
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,14066.0,14892.0,15326.0,15517.0,15604.0,15265.0,14982.0,15154.0,15275.0,15298.0,15184.0,14715.0,14196.0
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,17924.0,18853.0,19254.0,20019.0,19739.0,19985.0,20067.0,20207.0,19881.0,19331.0,18650.0,17455.0,16325.0
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,22966.0,24069.0,25226.0,26548.0,27167.0,27716.0,28455.0,28474.0,28349.0,27540.0,25674.0,23745.0,22988.0
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,18567.0,19020.0,19798.0,20621.0,21025.0,21663.0,22132.0,22105.0,22333.0,22115.0,21547.0,21144.0,20842.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,330676.0,343951.0,350548.0,356884.0,363470.0,369977.0,372097.0,376244.0,379420.0,373731.0,365850.0,351124.0,339109.0
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,48886.0,49870.0,49526.0,48587.0,48130.0,48179.0,48051.0,48192.0,48807.0,49245.0,48784.0,47821.0,47054.0
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,8329.0,8436.0,8131.0,8064.0,8186.0,8329.0,8203.0,8205.0,8332.0,8230.0,7836.0,7648.0,7399.0
