id,file,n_rows,n_meta_cols,n_time,t_start,t_end,monthly,uzb,kaz,kgz,tjk,tkm,n_unique_entities,first_entity,error
1465,sdmx_data_1465.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1469,sdmx_data_1469.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1470,sdmx_data_1470.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1471,sdmx_data_1471.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1473,sdmx_data_1473.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1474,sdmx_data_1474.csv,220,5,15,2010,2024,False,1,0,0,0,0,220,Republic of Uzbekistan,
1475,sdmx_data_1475.csv,15,5,7,2018,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1476,sdmx_data_1476.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1478,sdmx_data_1478.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1479,sdmx_data_1479.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1480,sdmx_data_1480.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1481,sdmx_data_1481.csv,220,5,15,2010,2024,False,1,0,0,0,0,220,Republic of Uzbekistan,
1482,sdmx_data_1482.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1483,sdmx_data_1483.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1484,sdmx_data_1484.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1485,sdmx_data_1485.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1486,sdmx_data_1486.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1488,sdmx_data_1488.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1490,sdmx_data_1490.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1491,sdmx_data_1491.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1492,sdmx_data_1492.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1494,sdmx_data_1494.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1496,sdmx_data_1496.csv,10,5,63,2021-M01,2026-M03,True,0,0,0,0,0,10,Export of services,
1498,sdmx_data_1498.csv,11,5,63,2021-M01,2026-M3,True,0,0,0,0,0,11,Export of services,
1501,sdmx_data_1501.csv,10,5,15,2010,2024,False,0,0,0,0,0,10,Export of services,
1502,sdmx_data_1502.csv,10,5,15,2010,2024,False,0,0,0,0,0,10,Import Services,
1503,sdmx_data_1503.csv,5,5,15,2010,2024,False,0,0,0,0,0,5,Telecommunication services,
1504,sdmx_data_1504.csv,5,5,15,2010,2024,False,0,0,0,0,0,5,Telecommunication services,
1506,sdmx_data_1506.csv,23,5,13,2010,2022,False,0,0,0,0,0,18,Food and Beverage,
1561,sdmx_data_1561.csv,15,5,25,2020-Q1,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
1569,sdmx_data_1569.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1570,sdmx_data_1570.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1576,sdmx_data_1576.csv,16,5,5,2022,2026,False,0,0,0,0,0,16,Mining and quarrying,
1577,sdmx_data_1577.csv,1,5,26,2000,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1578,sdmx_data_1578.csv,1,5,26,2000,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1579,sdmx_data_1579.csv,15,5,124,2016-М01,2026-M04,False,0,0,0,0,0,15,H. TRANSPORT AND STORAGE,
1581,sdmx_data_1581.csv,16,5,160,2013-M01,2026-M04,True,0,0,0,0,0,16,Composite index,
1737,sdmx_data_1737.csv,15,5,11,2010,2020,False,1,0,0,0,0,15,Republic of Uzbekistan,
1872,sdmx_data_1872.csv,15,5,16,2010,2025,False,1,0,0,0,0,15,Republic of Uzbekistan,
1873,sdmx_data_1873.csv,15,5,16,2010,2025,False,1,0,0,0,0,15,Republic of Uzbekistan,
1905,sdmx_data_1905.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
1907,sdmx_data_1907.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
1910,sdmx_data_1910.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
1913,sdmx_data_1913.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
223,sdmx_data_223.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
224,sdmx_data_224.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
225,sdmx_data_225.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
226,sdmx_data_226.csv,222,5,16,2010,2025,False,1,0,0,0,0,222,Republic of Uzbekistan,
227,sdmx_data_227.csv,222,5,16,2010,2025,False,1,0,0,0,0,222,Republic of Uzbekistan,
228,sdmx_data_228.csv,222,5,16,2010,2025,False,1,0,0,0,0,222,Republic of Uzbekistan,
229,sdmx_data_229.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
230,sdmx_data_230.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
232,sdmx_data_232.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
2358,sdmx_data_2358.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
236,sdmx_data_236.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
2364,sdmx_data_2364.csv,237,5,16,2009,2024,False,0,1,1,1,1,237,Cuba,
2365,sdmx_data_2365.csv,11,5,15,2010,2024,False,0,0,0,0,0,11,Machines and transport equipment,
2366,sdmx_data_2366.csv,11,5,15,2010,2024,False,0,0,0,0,0,11,Machines and transport equipment,
