"Public Investments (2022 Million USD) by Country/area, Technology and Year"

"Country/area","Technology","Year",Public Investments (2022 Million USD)
"Uzbekistan","Offshore wind energy","2021",-
"Uzbekistan","Offshore wind energy","2022",-
"Uzbekistan","Offshore wind energy","2023",-
"Uzbekistan","Renewable hydropower","2000",-
"Uzbekistan","Renewable hydropower","2001",-
"Uzbekistan","Renewable hydropower","2002",-
"Uzbekistan","Renewable hydropower","2003",-
"Uzbekistan","Renewable hydropower","2004",-
"Uzbekistan","Renewable hydropower","2005",-
"Uzbekistan","Renewable hydropower","2006",-
"Uzbekistan","Renewable hydropower","2007",28.01
"Uzbekistan","Renewable hydropower","2008",-
"Uzbekistan","Renewable hydropower","2009",-
"Uzbekistan","Renewable hydropower","2010",225.40
"Uzbekistan","Renewable hydropower","2011",-
"Uzbekistan","Renewable hydropower","2012",100.92
"Uzbekistan","Renewable hydropower","2013",99.67
"Uzbekistan","Renewable hydropower","2014",-
"Uzbekistan","Renewable hydropower","2015",-
"Uzbekistan","Renewable hydropower","2016",0.55
"Uzbekistan","Renewable hydropower","2017",65.88
"Uzbekistan","Renewable hydropower","2018",12.89
"Uzbekistan","Renewable hydropower","2019",29.19
"Uzbekistan","Renewable hydropower","2020",123.23
"Uzbekistan","Renewable hydropower","2021",0.05
"Uzbekistan","Renewable hydropower","2022",-
"Uzbekistan","Renewable hydropower","2023",-
"Uzbekistan","Pumped storage","2000",-
"Uzbekistan","Pumped storage","2001",-
"Uzbekistan","Pumped storage","2002",-
"Uzbekistan","Pumped storage","2003",-
"Uzbekistan","Pumped storage","2004",-
"Uzbekistan","Pumped storage","2005",-
"Uzbekistan","Pumped storage","2006",-
"Uzbekistan","Pumped storage","2007",-
"Uzbekistan","Pumped storage","2008",-
"Uzbekistan","Pumped storage","2009",-
"Uzbekistan","Pumped storage","2010",-
"Uzbekistan","Pumped storage","2011",-
"Uzbekistan","Pumped storage","2012",-
"Uzbekistan","Pumped storage","2013",-
"Uzbekistan","Pumped storage","2014",-
"Uzbekistan","Pumped storage","2015",-
"Uzbekistan","Pumped storage","2016",-
"Uzbekistan","Pumped storage","2017",-
"Uzbekistan","Pumped storage","2018",-
"Uzbekistan","Pumped storage","2019",-
"Uzbekistan","Pumped storage","2020",-
"Uzbekistan","Pumped storage","2021",-
"Uzbekistan","Pumped storage","2022",-
"Uzbekistan","Pumped storage","2023",-
"Uzbekistan","Marine energy","2000",-
"Uzbekistan","Marine energy","2001",-
"Uzbekistan","Marine energy","2002",-
"Uzbekistan","Marine energy","2003",-
"Uzbekistan","Marine energy","2004",-
"Uzbekistan","Marine energy","2005",-
"Uzbekistan","Marine energy","2006",-
"Uzbekistan","Marine energy","2007",-
"Uzbekistan","Marine energy","2008",-
"Uzbekistan","Marine energy","2009",-
"Uzbekistan","Marine energy","2010",-
"Uzbekistan","Marine energy","2011",-
"Uzbekistan","Marine energy","2012",-
"Uzbekistan","Marine energy","2013",-
"Uzbekistan","Marine energy","2014",-
"Uzbekistan","Marine energy","2015",-
"Uzbekistan","Marine energy","2016",-
"Uzbekistan","Marine energy","2017",-
"Uzbekistan","Marine energy","2018",-
"Uzbekistan","Marine energy","2019",-
"Uzbekistan","Marine energy","2020",-
"Uzbekistan","Marine energy","2021",-
"Uzbekistan","Marine energy","2022",-
"Uzbekistan","Marine energy","2023",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2000",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2001",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2002",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2003",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2004",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2005",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2006",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2007",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2008",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2009",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2010",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2011",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2012",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2013",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2014",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2015",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2016",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2017",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2018",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2019",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2020",4.91
"Uzbekistan","Other primary solid biofuels n.e.s.","2021",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2022",-
"Uzbekistan","Other primary solid biofuels n.e.s.","2023",-
"Uzbekistan","Renewable municipal waste","2000",-
"Uzbekistan","Renewable municipal waste","2001",-
"Uzbekistan","Renewable municipal waste","2002",-
"Uzbekistan","Renewable municipal waste","2003",-
"Uzbekistan","Renewable municipal waste","2004",-
"Uzbekistan","Renewable municipal waste","2005",-
"Uzbekistan","Renewable municipal waste","2006",-
"Uzbekistan","Renewable municipal waste","2007",-
"Uzbekistan","Renewable municipal waste","2008",-
"Uzbekistan","Renewable municipal waste","2009",-
"Uzbekistan","Renewable municipal waste","2010",-
"Uzbekistan","Renewable municipal waste","2011",-
"Uzbekistan","Renewable municipal waste","2012",-
"Uzbekistan","Renewable municipal waste","2013",-
"Uzbekistan","Renewable municipal waste","2014",-
"Uzbekistan","Renewable municipal waste","2015",-
"Uzbekistan","Renewable municipal waste","2016",-
"Uzbekistan","Renewable municipal waste","2017",-
"Uzbekistan","Renewable municipal waste","2018",-
"Uzbekistan","Renewable municipal waste","2019",-
"Uzbekistan","Renewable municipal waste","2020",-
"Uzbekistan","Renewable municipal waste","2021",-
"Uzbekistan","Renewable municipal waste","2022",-
"Uzbekistan","Renewable municipal waste","2023",-
"Uzbekistan","Biodiesel","2000",-
"Uzbekistan","Biodiesel","2001",-
"Uzbekistan","Biodiesel","2002",-
"Uzbekistan","Biodiesel","2003",-
"Uzbekistan","Biodiesel","2004",-
