"Heat generation (TJ) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Heat generation (TJ)
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2020",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2021",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2000",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2001",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2002",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2003",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2004",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2005",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2006",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2007",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2008",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2009",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2010",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2011",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2012",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2013",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2014",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2015",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2016",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2017",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2018",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2019",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2020",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2021",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2022",-
"Uzbekistan","Liquid biofuels","Heat (Commercial)","2023",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2000",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2001",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2002",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2003",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2004",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2005",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2006",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2007",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2008",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2009",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2010",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2011",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2012",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2013",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2014",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2015",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2016",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2017",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2018",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2019",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2020",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2021",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Liquid biofuels","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Biogas","Heat (Commercial)","2000",-
"Uzbekistan","Biogas","Heat (Commercial)","2001",-
"Uzbekistan","Biogas","Heat (Commercial)","2002",-
"Uzbekistan","Biogas","Heat (Commercial)","2003",-
"Uzbekistan","Biogas","Heat (Commercial)","2004",-
"Uzbekistan","Biogas","Heat (Commercial)","2005",-
"Uzbekistan","Biogas","Heat (Commercial)","2006",-
"Uzbekistan","Biogas","Heat (Commercial)","2007",-
"Uzbekistan","Biogas","Heat (Commercial)","2008",-
"Uzbekistan","Biogas","Heat (Commercial)","2009",-
"Uzbekistan","Biogas","Heat (Commercial)","2010",-
"Uzbekistan","Biogas","Heat (Commercial)","2011",-
"Uzbekistan","Biogas","Heat (Commercial)","2012",-
"Uzbekistan","Biogas","Heat (Commercial)","2013",-
"Uzbekistan","Biogas","Heat (Commercial)","2014",-
"Uzbekistan","Biogas","Heat (Commercial)","2015",-
"Uzbekistan","Biogas","Heat (Commercial)","2016",-
"Uzbekistan","Biogas","Heat (Commercial)","2017",-
"Uzbekistan","Biogas","Heat (Commercial)","2018",-
"Uzbekistan","Biogas","Heat (Commercial)","2019",-
"Uzbekistan","Biogas","Heat (Commercial)","2020",-
"Uzbekistan","Biogas","Heat (Commercial)","2021",-
"Uzbekistan","Biogas","Heat (Commercial)","2022",-
"Uzbekistan","Biogas","Heat (Commercial)","2023",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2000",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2001",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2002",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2003",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2004",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2005",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2006",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2007",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2008",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2009",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2010",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2011",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2012",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2013",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2014",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2015",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2016",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2017",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2018",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2019",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2020",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2021",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Biogas","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2000",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2001",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2002",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2003",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2004",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2005",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2006",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2007",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2008",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2009",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2010",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2011",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2012",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2013",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2014",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2015",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2016",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2017",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2018",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2019",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2020",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2021",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2022",-
"Uzbekistan","Geothermal energy","Heat (Commercial)","2023",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2000",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2001",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2002",-
